#,Prefix,Suffix,Property
74,Regal,of Royalty,"This armor is richly decorated and fashionable. Although it retains a hint of the ruggedness of a military garment, it could function as well in a ballroom as the battlefield. To the outside observer, you appear to be keeping an Aristocratic lifestyle expense."
75,Runic,of Runes,"Whenever bearer casts a spell of first level or higher, treat this as +1 armor until the beginning of their next turn."
76,Sacred,of the Sacred,The bearer may increase their Lay on Hands hit point pool by 5.
77,Sagacious,of Acumen,The bearer gains +1 to Wisdom (Insight) checks.
78,Sage's,of the Sage,The bearer gains a +1 bonus to Intelligence (History) checks.
79,Sailor's,of the Sea,"Treat as a +1 armor after the bearer has taken a long rest on the high seas. If the bearer leaves the ocean, this property becomes temporarily inert."
80,Scribe's,of the Scribe,"This armor unfolds to reveal animated appendages that are equipped with writing implements, magnifying glasses, and book stands. The armor aids the bearer in transcription tasks: it knows 3 languages of the DM's choice and halves the amount of time it takes the bearer to copy any text, including spells into spellbooks."
81,Shading,of Shade,The bearer suffers no harm in temperatures as high as 120 degrees Fahrenheit.
82,Shadow,of Shadows,Treat as a +1 armor when in dim light.
83,Shepherd's,of the Shepherd,The bearer gains a +1 bonus to (Wisdom) Animal Handling checks.
84,Shifting,of Shifting,The bearer may spend an action to change minor aspects of the physical appearance of this item.
85,Silent,of the Night,"If this armor imposed disadvantage to stealth, it no longer does. Otherwise, the bearer gains a +1 bonus to Dexterity (Stealth) checks."
86,Solar,of the Sun,The bearer may treat this as +1 armor when in direct sunlight.
87,Spiked,of Teeth,"Whenever a creature begins their turn grappling or being grappled by the bearer, they take 1d4 piercing damage."
88,Spiritual,of the Divine,"This armor is naught but a prayer written on a scrap of vellum, decorated with religious motifs of a particular god. Once per day, the bearer may spend 1 minute to read the prayer out loud, and at the end this armor will manifest and encase the bearer. The armor disappears if you act in any way that is not in accordance to the god's teachings."
89,Subtle,of Subtleties,The bearer gains proficiency in Thieves' Cant.
90,Surgeon's,of the Surgeon,The bearer gains a +1 bonus to Wisdom (Medicine) checks.
91,Tenacious,of the Tenacious,"When the bearer takes a long rest, they gain back one additional hit die."
92,Tracker's,of the Tracker,The bearer gains a +1 to Wisdom (Survival) checks.
93,Trusty,of Resurgence,Treat this as +1 armor if the bearer has half their maximum hit points or less.
94,Turquoise,of Turquoise,Reduces thunder damage to the bearer by 1.
95,Twilight,of Twilight,"Within 1 hour before or after the rising and setting of the sun, or during a solar eclipse, the armor comes alive with magic and the bearer may treat this as +1 armor."
96,Undertaker's,of the Undertaker,"Once deceased, the body wearing this armor cannot be animated or raised from the dead."
97,Unyielding,of the Unyielding,The bearer may treat this as +1 armor if they have taken damage since the beginning of their last turn. This effect ends at the beginning of their next turn.
98,Vanguard,of the Vanguard,The bearer may spend their reaction to gain a +1 AC bonus vs. melee weapon attacks until the beginning of their next turn.
99,Veiled,of the Veil,The wearer gains a +1 bonus to Dexterity (Stealth) checks when taking a hide action.
100,Victorious,of Victory,"Whenever the bearer kills a creature while wearing this amror, they gain temporary hit points equal to the creature's CR."
101,Vigilant,of Vigilance,The bearer gains +2 to their Passive Perception.
102,Vile,of Villains,Treat this as +1 armor at night when attuned to an evil aligned character.
103,Violent,of Violence,The bearer may choose to treat the heavy metal gauntlets of this armor as a Mace.
104,War Leader's,of the War Leader,The bearer can use an action to amplify their voice so that it clearly carries for up to 300 feet.
105,Warded,of Wards,The wearer cannot be possessed while wearing this armor.
106,Watcher's,of the Watcher,Treat as +1 armor when the bearer is surprised.
107,Waterborne,of the Sea,This armor floats. Its bearer has advantage on Strength (Athletics) checks to swim.
108,Winged,of Wings,The bearer gains +5 speed.
109,Wizard's,of the Wizard,The bearer gains a +1 to Intelligence (Arcana) checks.
110,Zen,of Zen,Treat this as +1 armor for one minute after meditating with it for one minute.
111,Zircon,of Zircon,Reduces force damage to the bearer by 1.
112,Abyssal,of the Abyss,"When on the plane of the Abyss, the bearer has advantage on saving throws against Abyssal Corruption. (DMG p. 62)"
113,Alarming,of Alarms,Contains 1d4 unreplenishable charges of the Alarm spell (1st level).
114,Arborean,of Arborea,"When on the plane of Arborea, the bearer has advantage on saving throws against the effects of Intense Yearning. (DMG p. 61)"
115,Arcadian,of Arcadia,"When on the plane of Arcardia, the bearer is unaffected by Planar Vitality (DMG p. 67)"
116,Astral,of the Astral Sea,"When travelling the Astral Sea, it takes half the number of hours to locate a Color Pool to a specific plane. You have advantage on saving throws vs. the effects of Psychic Wind (DMG p. 47-48)"
117,Beastial,of the Beastlands,"When on the plane of The Beastlands, the bearer has advantage on saving throws vs. Beast Transformation (DMG p. 60)"
118,Beastspeaker's,of Beastspeakers,Contains 1d4 unreplenishable charges of the Speak with Animals spell (1st level).
119,Benedictine,of Benediction,Contains 1d4 unreplenishable charges of the Healing Word spell (1st level).
120,Blasted,of Blasting,Contains 1d4 unreplenishable charges of the Fire Bolt spell (1st level).
121,Bold,of Boldness,Contains 1d4 unreplenishable charges of the Heroism spell (1st level).
122,Bountiful,of Bounty,Contains 1d4 unreplenishable charges of the Goodberry spell (1st level).
123,Bytopian,of Bytopia,"When on the plane of Bytopia, the bearer has advantage on saving throws against Pervasive Goodwill. (DMG p. 59-60)"
124,Carcerian,of Carceri,"When on the plane of Carceri, the bearer knows the direction to the closest secret exit from this prison plane. (DMG p. 63)"
125,Cartographic,of Cartography,"On its own volition, the item records a map of the environments that the bearer is exploring, and can magically project it for the bearer to see."
126,Chill,of Chills,Contains 1d4 unreplenishable charges of the Ray of Frost spell (1st level).
127,Clockwork,of Gears,"When on the plane of Mechanus, the bearer has advantage on saving throws against Imposing Order (DMG p. 66)"
128,Cloy,of Cloying,The bearer may cast Friends once per day.
129,Compassionate,of Compassion,Contains 1d4 unreplenishable charges of the Cure Wounds spell (1st level).
130,Concordant,of Concordance,The bearer has advantage on saving throws vs. Psychic Dissonance when travelling the Outer Planes. (DMG p. 59)
131,Conjurer's,of the Conjurer,The bearer may cast Prestidigitation once per day.
132,Corrosive,of Dissolving,Contains 1d4 unreplenishable charges of the Acid Splash spell (1st level).
133,Crawling,of Vermin,"The crawling things of the earth, such as insects, snakes, and vermin, are attracted to this item. When placed on the ground, such creatures will scurry toward the item like moths drawn to the flame."
134,Drunkard's,of Taverns,The bearer always knows the direction to the closest alcoholic beverage.
135,Elysian,of Elysium,"When on the plane of Elysium, the bearer has advantage on saving throws against the effects of Overwhelming Joy (DMG p. 60)"
136,Etherbound,of Ethereal Shores,The bearer can see creatures in the Border Ethereal that overlap with their plane as clearly as if they were fully in the bearer's plane. Such creatures appear as apparitions or ghosts.
137,Exalting,of Exaltation,Contains 1d4 unreplenishable charges of the Bless spell (1st level).
138,Expeditious,of Expedience,Contains 1d4 unreplenishable charges of the Expeditious Retreat spell.
139,Fathoming,of Tongues,Contains 1d4 unreplenishable charges of the Comprehend Languages spell.
140,Feathered,of Feathers,Contains 1d4 unreplenishable charges of the Feather Fall spell (1st level).
141,Feybound,of the Fey,The bearer knows the general direction to the closest Fey Crossing within a 60 mile radius. (DMG p. 50)
142,Forgiven,of Forgiveness,"When on the plane of Mount Celestia, the bearer of this item can receive the benefits of Blessed Beneficence regardless of their alignment."
143,Fortune Teller's,of the Fortune Teller,"Every time you hit by a monster, you glimpse a random image of its future or past."
144,Friendly,of Friendship,Contains 1d4 unreplenishable charges of the Animal Friendship spell (1st level).
145,Gehennan,of Gehenna,"When on the plane of Gehenna, the bearer has advantage on saving throws against Cruel Hindrance. (DMG p. 63)"
146,Gracious,of Grace,The bearer may cast Spare the Dying once per day.
147,Hadean,of Hades,"When on the plane of Hades, the bearer has advantage on saving throws against Vile Transformation. (DMG p. 63)"
148,Healing,of Healing,"This item contains 4 weak healing nodes. As an action, a character can use one node to heal 1d4 hit points at touch range. The item regains 1d4 charges at sunrise."
149,Hellish,of the Nine Hells,"When in the Nine Hells, the bearer has advantage on saving throws against Pervasive Evil. (DMG p. 64)"
150,Desperate,of Last Chances,The bearer has advantage on perception checks when searching for items long lost in the the Swamp of Oblivion on the Plane of Earth. (DMG p. 54)
151,Leaping,of Leaping,Contains 1d4 unreplenishable charges of the Jump spell (1st level).
152,Liar's,of Lies,The bearer cannot be magically compelled to speak the truth while wearing this armour.
153,Limbo,of Limbo,"When on the plane of Limbo, the bearer has advantage to Intelligence checks to alter or move non-magical objects within the plane. (DMG p. 61-62)"
154,Locating,of Locating,"Once attuned, the bearer always knows the exact location of this item"
155,Malediction,of Malediction,Contains 1d4 unreplenishable charges of the Bane spell(1st level).
156,Manipulating,of Manipulation,The bearer may cast Mage Hand once per day.
157,Master's,of Servants,Contains 1d4 unreplenishable charges of the Unseen Servant spell (1st level).
158,Maverick,of the Maverick,"The bearer has a +1 bonus to any skill check involving gambling and games of chance (Insight, Sleight of Hand, Investigation, etc)."
159,Messenger,of Messages,The bearer may cast Message once per day.
160,Meteoric,of Falling Stars,Contains 1 unreplenishable charge of Scorching Ray cast at 2nd level.
161,Miraculous,of Miracles,The bearer may cast Thaumaturgy once per day.
162,Mocking,of Mockery,The bearer may cast Vicious Mockery once per day.
163,Natural,of Nature,Contains 1d4 unreplenishable charges of the Locate Animals or Plants spell (1st level).
164,Neutralizing,of Neutrality,Contains 1d4 unreplenishable charges of the Protection from Good and Evil spell (1st level).
165,Nourishing,of Nourishment,"The bearer rarely feels hungry, and only needs to consume one-fifth the usual amount of food."
166,Pandemonium,of Pandemonium,"When on the plane of Pandemonium, the bearer has advantage on saving throws against the Mad Winds. (DMG p. 62)"
167,Projecting,of Projection,The bearer can send messages mentally to willing characters within 30 feet. This communication is one-way only.
168,Protective,of Protection,The bearer may cast Blade Ward once per day.
169,Revealing,of Revelation,Contains 1d4 unreplenishable charges of the Detect Magic spell (1st level).
170,Riutal,of Rituals,"Whenever the bearer is casting a spell as a ritual, they have advantage to maintain concentration during the ritual."
171,Sailor's,of the Sea,"Treat as a +1 weapon after the bearer has taken a long rest at sea. If the bearer steps on dry land, this property becomes temporarily inert."
172,Secret,of Secrets,Contains 1d4 unreplenishable charges of the Illusory Script spell (1st level).
173,Shadowbound,of the Shadowfell,The bearer knows the general direction to the closest Shadow Crossing within a 60 mile radius. They have advantage on saving throws vs. Shadowfell Dispair (DMG p. 51-52)
174,Shielding,of Shielding,This item contains 1d4 unreplenishable charges of the Shield spell.
175,Smith's,of Reparations,The bearer may cast Mending once per day.
176,Sparkling,of Lights,The bearer may cast Dancing Lights once per day.
177,Striding,of Strides,Contains 1d4 unreplenishable charges of the Longstrider spell (1st level).
178,Translucent,of Translucence,"The bearer gains an extra level one spell slot, which recovers only after a full moon rises."
179,Trickster's,of Trickery,"If the bearer uses no movement this turn, they may use a bonus action activate the magic in this armor to record their action. At the beginning of their next turn, an intangible illusory replica of themselves appears within 5 ft., repeatedly doing that action. It will continue to do this for 1 minute or until dispelled. The bearer may not use this magic again until they take a long rest."
180,True,of Truth,The bearer may cast True Strike once per day.
181,Verdant,of Druidcraft,The bearer may cast Druidcraft once per day.
182,Windborne,of the Labyrinth Wind,"When in the Plane of Air, the bearer can navigate the Labyrinth Wind intuitively, and knows the path to the nearest Earth Mote within 60 miles."
183,Wrathful,of Ysgard,"When on the plane of Ysgard, the bearer is unaffected by Immortal Wrath. (DMG p. 61)"
184,Thunderous,of the Rolling Thunder,Contains 1 unreplenishable charge of Shatter cast at 2nd level.
185,Chained,of Chains,Contains 1 unreplenishable charge of Hold Person cast at 2nd level.
186,Spider's,of the Spider,Contains 1 unreplenishable charge of Web cast at 2nd level.
187,Heliacal,of the Sun,Contains 1 unreplenishable charge of Flaming Sphere cast at 2nd level.
188,Crippling,of Crippling,Contains 1 unreplenishable charge of Ray of Enfeeblement cast at 2nd level.
189,Lunar,of the Moon,Contains 1 unreplenishable charge of Moonbeam cast at 2nd level.
190,Fatespinner's,of the Fates,Contains 1 unreplenishable charge of Augury cast at 2nd level.
191,Rooting,of Roots,Contains 1 unreplenishable charge of Entanglement cast at 2nd level.
192,Mirrored,of Mirrors,Contains 1 unreplenishable charge of Mirror Image cast at 2nd level.
193,Vulpine,of the Fox,Characters trying to track the bearer have a disadvantage on their skill checks.
194,Submerged,of the Depths,Treat as a +1 armor when completely submerged in water.
195,Comforting,of Comfort,Treat as a +1 armor if the bearer has any levels of exhaustion.
196,Brawler's,of Brawling,"Whenever a bearer makes an attack with an improvised weapon, treat as a +1 armor until the beginning of the bearer's next turn."
197,Eagle-eye,of the Eagle,The bearer can clearly see twice as far and gains advantage on Wisdom (perception) checks that use sight.
198,Lupine,of the Wolf,The bearer can detect and distinguish scents like a wolf and gains advantage on Wisdom (Perception) checks that use smell.
199,Chiropteran,of the Bat,The bearer can hear a pin drop in a crowded room and gains advantage on Wisdom (Perception) checks that use hearing.
200,Black,of Darkness,Contains 1 unreplenishable charge of Darkness cast at 2nd level.
201,Sober,of Sobriety,The bearer cannot become intoxicated while this armor is donned.
