#,Prefix,Suffix,Property
147,Summer,of the Scorching Sun,"The weapon contains a reservoir of scorching light that can deal up to 30 hp of radiant damage. The bearer may use an action to plant this weapon in the ground and release this energy. While planted and undepleted, creatures that end their turn within 10 feet of the weapon are brightly illuminated and seared for 1 radiant damage per round. A long rest restores 1d6 hp of energy to the weapon's reservoir."
148,Surgeon's,of the Surgeon,The bearer may use a bonus action to gain advantage to Wisdom (Medicine) checks for the rest of the turn.
149,Swift,of Reflexes,"If the bearer is first in the initiative order, they may treat this as a +1 weapon."
150,Tenacious,of the Tenacious,"When the bearer takes a long rest, they gain back one additional hit die."
151,Tithing,of Tithes,"The bearer may lay 10 gold coins along the surface of the weapon and pray to a God of their choice for 10 minutes. At the end of this ritual, the weapon becomes a +1 weapon until the next long rest and the 10 gold coins are permanently gone. This boon will be lost if the bearer acts in a way that is contradictory to that deity's teachings."
152,Transient,of the Breaking Seal,"Over the course of a long rest, the bearer may transfer the other magic properties of this weapon to a melee weapon of their choosing. This weapon then loses those properties."
153,Translucent,of Translucence,"The bearer gains an extra level one spell slot, which recovers only after a full moon rises."
154,Trusty,of Resurgence,Treat this as a +1 weapon if the bearer has half their maximum hit points or less.
155,Tsunami,of Crashing Waves,"Once per short rest, when the bearer crits with this weapon, all creatures other than the bearer within 5 feet of the target (including the target) must roll a DC 12 constitution saving throw or be knocked prone by a wave of concussive force."
156,Twilight's,of the Setting Sun,"Once per short rest, when you crit with this weapon it casts Hex on the target. Roll a d6 to determine which of the target's attributes is weakened. The bearer cannot transfer the curse to another creature."
157,Unity,of Unity,"Whenever the bearer of this weapon takes a help action in combat, the aided ally may treat their weapon as a +1 magic weapon until the end of their next turn."
158,Victorious,of Victory,"Whenever the bearer kills a creature with this weapon, they gain temporary hit points equal to the creature's CR (minimum of 1)."
159,Vigilant,of Vigilance,The bearer gains +1 to their Passive Perception.
160,Vile,of Villains,Treat this as a +1 weapon at night when attuned to an evil aligned character.
161,Violent,of Violence,"Everytime you crit with this weapon, it gains 1 charge. As a bonus action, use a charge to make this a +1 weapon for 1 minute. All charges are lost at the end of a long rest."
162,Visionary,of the Visionary,"The weapon does an additional 1 elemental damage based on the color of the bearer's eyes: (amber: lightning, black: necrotic, blue: cold, brown: acid, green: force, gray: thunder, hazel: poison, purple: psychic, red: fire, white: radiant)"
163,Vital,of Vitality,The bearer's maximum hit points increases by their constitution modifier while attuned to this item. These hit points are lost when the bearer unattunes the item.
164,Voidstone,of the Void,"This weapon cannot be detected by the ""Detect Magic"" spell unless the caster touches the weapon."
165,Voltaic,of Conduits,"Whenever the bearer deals damage to a creature, this weapon gains a charge. As a bonus action, the bearer can use any number of charges to deal that much extra lightning damage on their next attack. If a round (6 seconds) goes by and the weapon has not struck a foe, it loses all charges."
166,War Leader's,of the War Leader,The bearer can use an action to amplify their voice three times louder than normal.
167,Warded,of Warding,"Once per long rest the bearer may draw a 20 foot line in the ground with this weapon that lasts for 1 minute. The Undead must succeed on a DC 12 wisdom saving throw to move across this line. If they fail, they cannot move again until their next turn."
168,Waterborne,of the Sea,The item floats on water or other liquids. Its bearer has advantage on Strength (Athletics) checks to swim.
169,Weave-touched,of the Weave,"Whenever the bearer casts a spell, this weapon gains charges equal to the spell's level. The bearer can use a bonus action to remove 13 charges and make this a +1 weapon until the start of the next round. All charges are lost during a long rest."
170,Western,of the West,The bearer gains +1 to charisma saving throws.
171,Wild,of the Wilds,The bearer gains +1 to strength saving throws.
172,Winged,of Wings,"Once per long rest, the bearer may use an action to transform this weapon into a magical raven that can deliver a message to anyone in a 50 mile radius, provided the bearer knows their name and face. When the raven returns, it reverts into its weapon form. If the bird should die en route, it reverts into weapon form and unattunes from the bearer."
173,Winter,of Winter Ice,"The weapon contains a reservoir of ice magic that can a freeze the ground for up to 30 seconds. The bearer may use an action to plant this weapon in the ground and release the ice magic within. While planted and undepleted, the ground in a 10 foot radius of this weapon becomes difficult terrain. A long rest restores 1d6 seconds of energy to the weapon's reservoir."
174,Woodsman's,of Felling,This weapon does maximum damage against plant creatures.
175,Zen,of Zen,Treat this as a +1 weapon for 1 minute after meditating with it for 1 minute.
