#,Prefix,Suffix,Property
55,Friendly,of Friendship,Contains 1d4 unreplenishable charges of the Animal Friendship spell (1st level).
56,Gehennan,of Gehenna,"When on the plane of Gehenna, the bearer has advantage on saving throws against Cruel Hindrance. (DMG p. 63)"
57,Gracious,of Grace,The bearer may cast Spare the Dying once per day.
58,Grim,of Coercion,The bearer gains a +1 bonus to Charisma (Intimidation) checks if the target can see this item.
59,Hadean,of Hades,"When on the plane of Hades, the bearer has advantage on saving throws against Vile Transformation. (DMG p. 63)"
60,Harmonious,of Harmony,Attuning to this item takes only 1 minute.
61,Healing,of Healing,"This item contains 4 weak healing nodes. As an action, a character can use one node to heal 1d4 hit points at touch range. The item regains 1d4 charges at sunrise."
62,Hellish,of the Nine Hells,"When in the Nine Hells, the bearer has advantage on saving throws against Pervasive Evil. (DMG p. 64)"
63,Heroic,of Heroes,The bearer has advantage on saving throws vs. fear.
64,Histrionic,of Histrionics,the bearer gains +1 to Charisma (Performance) checks.
65,Holy,of Faith,"When the bearer of this item rolls hit dice, they can choose to re-roll them and take the second result."
66,Iconic,of Symbols,The item is inscribed with holy symbols of the God of the DM's choice. A cleric or paladin that serves that god may use this item as a divine focus.
67,Inquisitor's,of the Inquisitor,The bearer gains a +1 bonus to Intelligence (Investigation) checks.
68,Inspired,of Inspiration,The bearer regains their Constitution modifier in temporary hit points whenever they gain or use inspiration.
69,Leaping,of Leaping,Contains 1d4 unreplenishable charges of the Jump spell (1st level).
70,Liar's,of Lies,Contains 1d4 unreplenishable charges of the Silent Image spell (1st level).
71,Limbo,of Limbo,"When on the plane of Limbo, the bearer has advantage to Intelligence checks to alter or move non-magical objects within the plane. (DMG p. 61-62)"
72,Locating,of Locating,"Once attuned, the bearer always knows the exact location of this item"
73,Loquacious,of the Silver Tongue,The bearer gains +1 to Charisma (Persuasion) checks.
74,Malediction,of Malediction,Contains 1d4 unreplenishable charges of the Bane spell(1st level).
75,Manipulating,of Manipulation,The bearer may cast Mage Hand once per day.
76,Master's,of Servants,Contains 1d4 unreplenishable charges of the Unseen Servant spell (1st level).
77,Maverick,of the Maverick,"The bearer has a +1 bonus to any skill check involving gambling and games of chance (Insight, Sleight of Hand, Investigation, etc)."
78,Messenger,of Messages,The bearer may cast Message once per day.
79,Meteoric,of Falling Stars,Contains 1 unreplenishable charge of Scorching Ray (1st level).
80,Mindful,of Mindfulness,The bearer gains a +1 bonus to Wisdom saving throws.
81,Miraculous,of Miracles,The bearer may cast Thaumaturgy once per day.
82,Mocking,of Mockery,The bearer may cast Vicious Mockery once per day.
83,Natural,of Nature,Contains 1d4 unreplenishable charges of the Locate Animals or Plants spell (1st level).
84,Neutralizing,of Neutrality,Contains 1d4 unreplenishable charges of the Protection from Good and Evil spell (1st level).
85,Nimble,of Agility,The bearer gains a +1 bonus to Dexterity saving throws.
86,Nourishing,of Nourishment,"The bearer rarely feels hungry, and only needs to consume one-fifth the usual amount of food."
87,Pandemonium,of Pandemonium,"When on the plane of Pandemonium, the bearer has advantage on saving throws against the Mad Winds. (DMG p. 62)"
88,Preacher's,of the Preacher,The bearer may extend the range of their Channel Divinity by 5 feet.
89,Projecting,of Projection,The bearer can send messages mentally to willing characters within 30 feet. This communication is one-way only.
90,Protective,of Protection,The bearer may cast Blade Ward once per day.
91,Reaper's,of the Reaper,The bearer has advantage on death saving throws.
92,Renaissance,of the Renaissance,"Once per day, the bearer may gain +1 to any skill check."
93,Revealing,of Revelation,Contains 1d4 unreplenishable charges of the Detect Magic spell (1st level).
94,Riutal,of Rituals,"Whenever the bearer casts a spell as a ritual, they have advantage to maintain concentration during the ritual."
95,Sacred,of the Sacred,The bearer may increase their Lay on Hands hit point pool by 5.
96,Sagacious,of Acumen,The bearer gains +1 to Wisdom (Insight) checks.
97,Sage's,of the Sage,The bearer gains a +1 bonus to Intelligence (History) checks.
98,Secret,of Secrets,Contains 1d4 unreplenishable charges of the Illusory Script spell (1st level).
99,Sentinel,of the Sentinel,Faintly glows when creatures of a certain race (DMs choice) are within a 100 foot radius.
100,Shading,of Shade,The bearer suffers no harm in temperatures as high as 120 degrees Fahrenheit.
101,Shadowbound,of the Shadowfell,The bearer knows the general direction to the closest Shadow Crossing within a 60 mile radius. They have advantage on saving throws vs. Shadowfell Dispair (DMG p. 51-52)
102,Shepherd's,of the Shepherd,The bearer gains a +1 bonus to (Wisdom) Animal Handling checks.
103,Shielding,of Shielding,This item contains 1d4 unreplenishable charges of the Shield spell.
104,Shifting,of Shifting,The bearer may change minor aspects of the physical appearance of this item.
105,Silent,of the Night,The bearer gains a +1 bonus to Dexterity (Stealth) checks.
106,Smith's,of Reparations,The bearer may cast Mending once per day.
107,Sojourner's,of the Sojouner,"A poem, story, or map that describes a long-forgotten treasure is etched on the surface of the item."
108,Solemn,of Solemnity,The bearer may spend an action removing all the failed death saving throws from a target within 5 feet of them. The target is still not stabilized.
109,Sparkling,of Lights,The bearer may cast Dancing Lights once per day.
110,Striding,of Strides,Contains 1d4 unreplenishable charges of the Longstrider spell (1st level).
111,Surgeon's,of the Surgeon,The bearer gains a +1 bonus to Wisdom (Medicine) checks.
112,Tenacious,of the Tenacious,"When the bearer takes a long rest, they gain back one additional hit die."
113,Tracker's,of the Tracker,The bearer gains a +1 to Wisdom (Survival) checks.
114,Translucent,of Translucence,"The bearer gains an extra level one spell slot, which recovers only after a full moon rises."
115,Trickster's,of Trickery,The bearer may cast Minor Illusion once per day.
116,True,of Truth,The bearer may cast True Strike once per day.
117,Unbroken,of Heart,The bearer gains a +1 bonus to Constitution saving throws.
118,Verdant,of Druidcraft,The bearer may cast Druidcraft once per day.
119,Victorious,of Victory,Whenever the bearer kills a creature they gain temporary hit points equal to the creature's CR.
120,Vigilant,of Vigilance,The bearer gains +2 to their Passive Perception.
121,Vigorous,of Vigor,The bearer gains a +1 bonus to Strength saving throws.
122,Vital,of Vitality,The bearer's maximum hit points increases by their constitution modifier while attuned to this item. These hit points are lost when the bearer unattunes the item.
123,War Leader's,of the War Leader,The bearer can use an action to amplify their voice so that it clearly carries for up to 300 feet.
124,Waterborne,of the Sea,The item floats on water or other liquids. Its bearer has advantage on Strength (Athletics) checks to swim.
125,Windborne,of the Labyrinth Wind,"When in the Plane of Air, the bearer can navigate the Labyrinth Wind intuitively, and knows the path to the nearest Earth Mote within 60 miles."
126,Wizard's,of the Wizard,The bearer gains a +1 to Intelligence (Arcana) checks.
127,Wrathful,of Ysgard,"When on the plane of Ysgard, the bearer is unaffected by Immortal Wrath. (DMG p. 61)"
